@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
Bir Kadının Hayatından Yirmi Dört Saat (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,80,670, Roman (çeviri),5,17
Lyon’da Düğün,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.0,4.55,56,7645, Roman (çeviri),5,757
Yeraltından Notlar,KARBON KİTAPLAR,Fyodor Mihayloviç Dostoyevski,9.26,5.09,128,2428, Roman (çeviri),5,127
Son Ada,DOĞAN KİTAP,Zülfü Livaneli,22.5,15.3,200,17761, Roman (yerli),5,2017
Araba Sevdası (Cep Boy),KARBON KİTAPLAR,Recaizade Mahmut Ekrem,7.0,2.9,259,444, Roman (yerli),5,13
Ermiş,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Halil Cibran,8.0,5.2,56,18180, Doğu Felsefesi,4,2061
Flora Banks’in Tek Anısı,PEGASUS YAYINLARI,Emily Barr,35.19,20.76,312,722, Roman (çeviri),4,17
Mustafa Kemal,KIRMIZI KEDİ YAYINEVİ,Yılmaz Özdil,32.41,21.06,520,54931, Mustafa Kemal Atatürk,4,3160
Dergah Edebiyat Sanat Kültür Dergisi Sayı:353 Temmuz 2019,DERGAH YAYINLARI - DERGİ,,7.0,5.5,0,3618, Kültür ve Sanat Dergileri,5,151
Harry Potter ve Ateş Kadehi,YAPI KREDİ YAYINLARI,J. K. Rowling,44.0,27.28,664,141256, İngilizce,5,1292
Livia Ya Da Diri Diri Gömülmek / Avignon Beşlisi 2,CAN YAYINLARI KAMPANYA,Lawrence Durrell,23.5,10.58,240,339, İngilizce,4,24
Bütün-Beyinli Çocuk,KORİDOR YAYINCILIK,Dan Siegel , Tina Payne Bryson,25.0,16.9,249,10924, İngilizce,5,473
Sokrates'in Savunması (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Platon(Eflatun),12.0,7.8,200,12165, Eski Yunanca,5,1014
Bir Kalbin Çöküşü (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,37,587, Hikaye (çeviri),5,19
Öteki (Cep Boy),KARBON KİTAPLAR,Fyodor Mihayloviç Dostoyevski,7.0,2.9,191,414, Roman (çeviri),5,18
Çetin Ceviz & Sıra Dışı Bir Ödev Hikayesi,FOM KİTAP,Sinan Yaşar,15.0,9.45,64,10251, Roman,5,228
Veronika Ölmek İstiyor,CAN YAYINLARI,Paulo Coelho,25.5,16.06,198,17750, Portekizce,5,1657
Mutlu Su Aygırı,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Richard Edwards , Carol Liddiment,10.0,6.5,31,148806, Hikaye, Roman & Masal,5,797
Kendime Ait Görünmez Bir İşaret,CAN YAYINLARI KAMPANYA,Aimee Bender,23.5,10.0,256,910, İngilizce,4,85
İnce Memed 2,YAPI KREDİ YAYINLARI,Yaşar Kemal,35.0,21.0,459,11109, Roman (yerli),5,1063
Başlangıç,ALTIN KİTAPLAR,Dan Brown,45.0,22.05,536,35550, Roman (çeviri),5,3161
Kral Şakir 1 / Tek Kişilik Dev Orkestra! (Ciltli),EKSİK PARÇA ÇOCUK,Varol Yaşaroğlu,32.0,19.2,208,979461, Hikaye, Roman & Masal,5,284
Madalyonun İçi,REMZİ KİTABEVİ,Dr. Gülseren Budayıcıoğlu,37.04,25.19,383,5652, Genel,5,299
Evernight Akademisi Serisi Takım Set (5 Kitap),PEGASUS YAYINLARI,Claudia Gray,168.53,30.0,1632,207, Edebiyat,4,10
Dublörün Dilemması,APRIL YAYINCILIK,Murat Menteş,26.0,17.88,272,3069, Roman (yerli),5,432
Sivrisinek Şehirde,DEDALUS KİTAP,Erlom Ahvlediani,22.0,13.5,192,536, Roman (çeviri),4,26
Harry Potter ve Melez Prens,YAPI KREDİ YAYINLARI,J. K. Rowling,35.0,21.7,594,119066, İngilizce,5,1048
Dokuzuncu Hariciye Koğuşu,ÖTÜKEN NEŞRİYAT,Peyami Safa,0.0,8.33,112,32691, Roman (yerli),5,2640
Delifişek,CAN YAYINLARI,Jose Mauro De Vasconcelos,13.0,8.45,88,22590, Portekizce,5,2105
Yüzyıllık Yalnızlık (Ciltsiz),CAN YAYINLARI,Gabriel Garcia Marquez,42.0,27.3,464,37381, İspanyolca,4,4255
Anna Karenina (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Lev N. Tolstoy,38.0,24.66,1062,9386, Rusça,5,1124
Her Şey Değişir & Ritüeller Kitabı,DESTEK YAYINLARI,Anette Inselberg,24.0,18.0,256,1785, Kişisel Gelişim,5,17
Kahraman Doktor İhtiyar Acuzeye Karşı & Geç Osmanlı Doğum Politikaları,CAN YAYINLARI KAMPANYA,Gülhan Erkaya Balsoy,24.5,11.03,256,662, Kadın Kitapları,4,46
Sebastian ya da Güçlü Tutkular / Avignon Beşlisi 4,CAN YAYINLARI KAMPANYA,Lawrence Durrell,19.0,9.5,192,320, İngilizce,5,19
Kumarbaz (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Fyodor Mihayloviç Dostoyevski,13.0,8.45,192,10029, Rusça,5,1173
Beyinde Ararken Bağırsakta Buldum,ELMA YAYINEVİ,Serkan Karaismailoğlu,32.0,20.58,288,8963, Popüler Kültür,5,522
Satranç,KARBON KİTAPLAR,Stefan Zweig,8.33,4.58,58,5733, Roman (çeviri),5,598
Ay'a Yolculuk (Cep Boy),KARBON KİTAPLAR,Jules Verne,7.0,2.9,210,553612, Hikaye, Roman & Masal,5,25
Evvel Zaman İçinde,PEGASUS YAYINLARI,Tom McNeal,36.94,23.27,360,526, Bilimkurgu-Fantazya,5,24
Korku (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,81,484, Hikaye (çeviri),5,20
Günahın Üç Rengi & Madalyonun Öteki Yüzü,REMZİ KİTABEVİ,Dr. Gülseren Budayıcıoğlu,28.0,19.04,286,3964, Diğer,5,201
Göğe Bakma Durağı,YAPI KREDİ YAYINLARI,Turgut Uyar,8.0,5.12,112,30508, Şiir (yerli),5,2505
Amok Koşucusu (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,63,601, Hikaye (çeviri),5,23
Saklı Seçilmişler & Siz Onları Değil, Onlar Sizi Seçti,KIRMIZI KEDİ YAYINEVİ,Soner Yalçın,35.0,22.75,504,26609, Araştırma-İnceleme,5,1409
Dokuz Peruklu Kız,PEGASUS YAYINLARI,Sophie Van Der Stap,32.41,20.42,272,664, Anı (hatırat),4,44
Köpek Sahibinin El Kitabı,NTV YAYINLARI,Sam Stall , David Brunner,24.95,12.48,224,572, Hayvanlar,5,29
Sürüş Becerileri & Motosikletçinin El Kitabı,NTV YAYINLARI,Mark Lindemann,28.01,13.95,96,1874, İngilizce,4,126
Harry Potter ve Zümrüdüanka Yoldaşlığı,YAPI KREDİ YAYINLARI,J. K. Rowling,55.0,34.1,975,129866, İngilizce,5,1155
Harry Potter ve Ölüm Yadigarları,YAPI KREDİ YAYINLARI,J. K. Rowling,48.0,29.76,690,118476, İngilizce,5,1050
Beyaz Geceler (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Fyodor Mihayloviç Dostoyevski,12.0,7.8,218,4873, Rusça,5,537
Beyaz Geceler (Cep Boy),KARBON KİTAPLAR,Fyodor Mihayloviç Dostoyevski,7.0,2.9,88,522, Roman (çeviri),5,23
Siddhartha (Ciltsiz),CAN YAYINLARI,Hermann Hesse,19.0,12.35,152,16280, Almanca,5,1690
Bir Milyon Sevgi Dolu Mektup,PEGASUS YAYINLARI,Jodi Ann Bickley,32.41,20.42,240,515, Kişisel Gelişim,5,15
Bitmeyecek Öykü,PEGASUS YAYINLARI,Michael Ende,36.94,18.1,512,2635, Bilimkurgu-Fantazya,5,218
Paradan Haber Ver!,NTV YAYINLARI,Esteve Calzada,24.95,12.48,208,517, Pazarlama-Satış,4,40
Türkleşmek, İslamlaşmak, Muasırlaşmak (Cep Boy),KARBON KİTAPLAR,Ziya Gökalp,7.0,2.9,96,551, Siyasal Düşünce,5,14
Satranç (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,72,513, Roman (çeviri),5,15
Deniz Feneri (Cep Boy),KARBON KİTAPLAR,Virginia Woolf,7.0,2.9,256,472, Roman (çeviri),5,20
Türkçülüğün Esasları (Cep Boy),KARBON KİTAPLAR,Ziya Gökalp,7.0,2.9,191,618, Siyasal Düşünce,5,22
İnsan Olmak,METİS YAYINLARI,Engin Geçtan,22.5,15.53,184,12064, Psikolojik Danışma,5,646
Geçmişe Yolculuk,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.0,4.55,56,8081, Hikaye (çeviri),5,786
Hamlet (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,William Shakespeare,12.0,7.8,188,11205, İngilizce,5,1099
Başka Türlü Bi’şey,PEGASUS YAYINLARI,Sandy Hall,32.41,20.42,240,561, Roman (çeviri),5,31
Bu Ülke,İLETİŞİM YAYINLARI,Cemil Meriç,37.0,24.79,339,23304, Sosyoloji Yazıları,5,2229
Başkasının Karısı (Cep Boy),KARBON KİTAPLAR,Fyodor Mihayloviç Dostoyevski,7.0,2.9,72,376, Hikaye (çeviri),5,10
Masumiyet Müzesi,YAPI KREDİ YAYINLARI,Orhan Pamuk,40.0,25.19,465,11161, Roman (yerli),4,1016
Kendine Hoş Geldin,OLİMPOS YAYINLARI,Miraç Çağrı Aktaş,22.0,12.1,160,96, Deneme (yerli),2,10
Aşkımumya İma Kılavuzu,CAN YAYINLARI KAMPANYA,Murat Yalçın,23.5,10.58,232,231, Hikaye (yerli),4,19
Kızıl,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.0,4.55,72,4834, Anlatı,5,574
Yaşamak,JAGUAR KİTAP,Yu Hua,24.0,14.39,210,3457, Roman (çeviri),5,363
Gazi Mustafa Kemal Atatürk,KRONİK KİTAP,Prof. Dr. İlber Ortaylı,35.0,20.98,480,47159, Mustafa Kemal Atatürk,5,3963
Olimpiyatların Yükselişi,NTV YAYINLARI,Michael Payne,28.01,12.5,320,1052, Olimpiyatlar,4,74
Dönüşüm,CAN YAYINLARI,Franz Kafka,7.5,4.87,104,40737, Almanca,5,6296
Kral Şakir 5 / Dostum Bu Çok Havalı!,EKSİK PARÇA ÇOCUK,Varol Yaşaroğlu,32.0,19.2,208,9558, Hikaye,4,281
Sınır,PEGASUS YAYINLARI,J. D. Horn,36.94,21.79,312,499, Roman (çeviri),4,19
Martı Jonathan Livingston,EPSİLON YAYINEVİ,Richard Bach,20.37,13.85,152,49189, İngilizce,5,4479
Göçüp Gidenler Koleksiyoncusu,DOĞAN KİTAP,Şermin Yaşar,23.5,15.75,168,16096, Hikaye (yerli),5,950
Diriliş Neslinin Amentüsü,DİRİLİŞ YAYINLARI,Sezai Karakoç,14.0,9.85,68,30076, Genel,5,2022
Beş Sevgi Dili- Sevdiğiniz İnsana Yürekten Bağlılığınızı Nasıl İfade Edersiniz,KORİDOR YAYINCILIK,Gary Chapman,25.0,17.5,226,13263, Kişisel Gelişim,5,642
Babaya Mektup (Cep Boy),KARBON KİTAPLAR,Franz Kafka,7.0,2.9,62,551, Mektup,5,20
Dedemin Bakkalı - Çırak,TAZE KİTAP,Şermin Yaşar,25.0,15.74,160,16172, Hikaye,5,798
İçimizdeki Şeytan,KARBON KİTAPLAR,Sabahattin Ali,11.11,6.53,300,4265, Roman (yerli),5,225
Kiraz Ağacı ile Aramızdaki Mesafe,TİMAŞ GENÇ,Paola Peretti,22.5,14.62,208,431712, Hikaye, Roman & Masal,5,188
Travma,PEGASUS YAYINLARI,Agnes Hammer,34.72,21.87,304,606, Almanca,4,28
Dünyaya Geldim Gitmeye,TURKUVAZ KİTAP,Dr. Kemal Sayar , Sadettin Ökten,30.0,24.0,288,88,,5,1
Bir Köy Hekimi (Cep Boy),KARBON KİTAPLAR,Franz Kafka,7.0,2.9,68,467, Hikaye (çeviri),5,22
Formula 1 2006 Sezon Değerlendirmesi (Ciltli),NTV YAYINLARI,Kollektif,33.61,16.8,256,972, Genel,5,73
Ay Işığı Sokağı (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,94,507, Hikaye (çeviri),5,18
English Grammar Today (Türkçe Açıklamalı),MK PUBLİCATİONS,Murat Kurt,55.0,33.55,512,7507, Dil Eğitimi,5,485
Badeci Şeyh’in Sır Odası,KIRMIZI KEDİ YAYINEVİ,Timur Soykan,21.0,13.65,224,848,,4,25
Dirilt Kalbini,TİMAŞ YAYINLARI,Nouman Ali Khan,25.0,17.0,224,36982, Kişisel Gelişim,5,2749
Sefiller (2 Cilt) - (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Victor Hugo,52.0,33.8,1724,10022, Fransızca,5,1265
Babamın Battaniyesi,YAPI KREDİ YAYINLARI,Sara Şahinkanat,26.0,16.64,40,381457, Hikaye,5,53
Müzik Seni Çağırıyor,NTV YAYINLARI,Erdal Atabek,20.37,10.18,192,377, Genel,4,19
Incognito & Beynin Gizli Hayatı,DOMİNGO YAYINEVİ,David Eagleman,30.0,18.9,304,13906, İngilizce,4,939
Ulusların Düşüşü,DOĞAN KİTAP,Daron Acemoğlu , James A. Robinson,38.9,28.4,496,11790, İngilizce,5,554
İnce Memed 3,YAPI KREDİ YAYINLARI,Yaşar Kemal,48.0,28.8,629,8632, Roman (yerli),5,811
Böyle Söyledi Zerdüşt (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Friedrich Nietzsche,18.0,11.7,335,6252, Almanca,5,583
Homo Deus: Yarının Kısa Bir Tarihi,KOLEKTİF KİTAP,Yuval Noah Harari,42.59,25.55,456,18689, İnceleme-Araştırma,5,1225
Bilinmeyen Bir Kadının Mektubu (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.9,125,439, Roman (çeviri),5,10
Nar Ağacı,TİMAŞ YAYINLARI,Prof. Dr. Nazan Bekiroğlu,38.5,23.1,536,35778, Roman (yerli),5,4312
Fıtrat Pedagojisi,HAYY KİTAP,Hatice Kübra Tongar,20.37,11.1,184,30884, Çocuk Eğitimi,5,1473
21. Yüzyıl İçin 21 Ders,KOLEKTİF KİTAP,Yuval Noah Harari,37.04,22.22,336,9480, Diğer,5,531
Yaşlı Adam ve Deniz,BİLGİ YAYINEVİ,Ernest Hemingway , Yasemin Yener,20.0,13.2,148,13592, Roman (çeviri),5,1079
Kara Kedi (Cep Boy),KARBON KİTAPLAR,Edgar Allan Poe,7.0,2.9,84,365, Hikaye (çeviri),5,15
Bilinmeyen Adanın Öyküsü,KIRMIZI KEDİ YAYINEVİ,Jose Saramago,10.0,6.5,59,10403, Portekizce,4,1451
Geliştiren Anne-Baba,REMZİ KİTABEVİ,Doğan Cüceloğlu,20.83,13.54,192,33240, Annelik-Babalık-Aile,5,1574
İçimdeki Müzik,TİMAŞ GENÇ,Sharon M. Draper,25.0,15.75,264,15887, Edebiyat,5,835
Sirkadiyen Beslenme,DOĞAN KİTAP,Dr. Ayşegül Çoruhlu,25.0,16.75,180,2547, Sağlıklı beslenme-Diyet,4,53
Notre Dame'ın Kamburu (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Victor Hugo,28.0,18.2,572,5662, Fransızca,5,598
Peter Pan(Tam Metin) (Cep Boy),KARBON KİTAPLAR,J. M. Barrie,7.0,2.9,204,401612, Hikaye, Roman & Masal,5,14
Mülksüzler,METİS YAYINLARI,Ursula K. Le Guin,36.5,25.18,336,10146, İngilizce,5,752
Vişne Bahçesi (Cep Boy),KARBON KİTAPLAR,Anton Çehov,7.0,2.9,83,346, Oyun (çeviri),5,8
Kral Şakir 2 / Macera Devam Ediyor (Ciltli),EKSİK PARÇA ÇOCUK,Varol Yaşaroğlu,32.0,19.2,216,9793, Hikaye,5,258
Kan ve Gül & Bir Kara Dejavu,APRIL YAYINCILIK,Alper Canıgüz,20.0,13.75,216,2712, Roman (yerli),5,360
Türk Töresi (Cep Boy),KARBON KİTAPLAR,Ziya Gökalp,7.0,2.9,116,444, Kültür Tarihi,5,16
Ağrıdağı Efsanesi,YAPI KREDİ YAYINLARI,Yaşar Kemal,13.0,8.32,120,11568, Roman (yerli),5,1071
On Küçük Zenci (Tam Metin),ALTIN KİTAPLAR,Agatha Christie,24.0,14.39,224,4000, Polisiye,5,331
Tecrübe Taktiklerle Paragraf Soru Bankası Tüm Zamanların Tüm Sınavları İçin,PELİKAN YAYINLARI,Rüştü Bayındır,47.5,27.79,320,2728, Eğitime Yardımcı Kitaplar,5,117
Sadako / ve Kağıttan Bin Turna Kuşu,BEYAZ BALİNA YAYINLARI,Eleanor Coerr,11.0,7.48,96,924630, Hikaye, Roman & Masal,5,933
Çocuk Kalbi,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Edmondo De Amicis,9.0,5.85,328,214686, İtalyanca,5,1037
Nutuk-Gençler İçin Fotoğraflarla,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Mustafa Kemal Atatürk,18.0,11.7,599,29503, Eğitici ve Kaynak Kitaplar,5,2187
İnsancıklar,CAN YAYINLARI,Fyodor Mihayloviç Dostoyevski,12.5,8.12,184,5119, Rusça,5,558
Ya Nasip,YEDİVEREN YAYINLARI,Osman Sungur Yeken,25.0,15.0,256,1747, Roman (yerli),5,72
Doğunun Limanları,YAPI KREDİ YAYINLARI,Amin Maalouf,18.0,11.52,183,16539, Fransızca,5,1554
Kral Şakir 4 / Hayat Kısa Filler Uçuyor! (Ciltli),EKSİK PARÇA ÇOCUK,Varol Yaşaroğlu,32.0,19.2,208,9318, Hikaye,5,235
Kuafördeki Domuz ve Başka Öyküler,CAN YAYINLARI KAMPANYA,Erich Kastner,15.0,6.75,136,201, Almanca,4,7
Genç Bir Doktorun Anıları,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Mihail Bulgakov,12.0,7.8,168,8821, Rusça,5,1057
Korku,KARBON KİTAPLAR,Stefan Zweig,8.33,5.25,69,1237, Hikaye (çeviri),5,87
Hayat Ağacı,PEGASUS YAYINLARI,Dawn French,36.94,23.27,320,591, Roman (çeviri),4,29
Dorian Gray'in Portresi (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Oscar Wilde,19.0,12.35,272,1572, Roman (çeviri),5,138
Kral Şakir 3 / Anlatsam Film Olur! (Ciltli),EKSİK PARÇA ÇOCUK,Varol Yaşaroğlu,32.0,19.2,208,10011, Hikaye,5,281
Nietzsche Ağladığında,AYRINTI YAYINLARI,Irvin D. Yalom,41.67,28.33,432,14105, İngilizce,5,1351
Doktor Ox’un Deneyi,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jules Verne,8.0,5.2,96,6089, Roman (çeviri),5,813
İvan İlyiç'in Ölümü (Cep Boy),KARBON KİTAPLAR,Lev N. Tolstoy,7.0,2.9,92,82, Roman (çeviri),5,5
Bilinçaltının Gücü,KORİDOR YAYINCILIK,Joseph Murphy,25.0,17.05,276,15798, Kişisel Gelişim,4,756
Sabahattin Ali Cep Boy Seti (3 Kitap),KARBON KİTAPLAR,Sabahattin Ali,21.0,8.7,857,410, Roman (yerli),5,7
Bulantı,CAN YAYINLARI,Jean Paul Sartre,28.0,18.2,264,13881, Fransızca,4,1202
Yeni Dünya (Cep Boy),KARBON KİTAPLAR,Sabahattin Ali,7.0,2.9,164,410, Hikaye (yerli),5,16
Canım Aliye, Ruhum Filiz,YAPI KREDİ YAYINLARI,Sabahattin Ali,11.0,6.6,160,9353, Mektup,5,1236
Ermiş (Cep Boy),KARBON KİTAPLAR,Halil Cibran,7.0,2.9,78,415, Doğu Felsefesi,5,22
Muhayyel Dergisi Sayı:15 Temmuz 2019,MUHAYYEL DERGİ,,10.0,5.0,80,3688, Edebiyat Dergileri,4,260
Aç Tırtıl,MAVİBULUT YAYINCILIK,Eric Carle,26.85,15.84,32,12282, İngilizce,5,747
Beni Ödülle Cezalandırma,DOĞAN KİTAP,Dr. Özgür Bolat,25.0,17.5,248,28923, Çocuk Bakımı,5,1538
Yürümenin Felsefesi,KOLEKTİF KİTAP,Frederic Gros,23.15,13.89,192,2264, Genel,4,141
Efendi İle Uşağı (Cep Boy),KARBON KİTAPLAR,Lev N. Tolstoy,7.0,2.9,72,383, Hikaye (çeviri),5,15
Sırça Köşk (Cep Boy),KARBON KİTAPLAR,Sabahattin Ali,7.0,2.9,164,84, Hikaye (yerli),5,1
Sherlock Holmes / Kızıl Dosya (Cep Boy),KARBON KİTAPLAR,Sir Arthur Conan Doyle,7.0,2.9,172,92, Polisiye,5,3
İslamın Dirilişi,DİRİLİŞ YAYINLARI,Sezai Karakoç,15.0,10.56,68,13472, Genel,5,819
Toprak Ana,ÖTÜKEN NEŞRİYAT,Cengiz Aytmatov,0.0,8.33,136,30429, Roman (yerli),5,2967
Beyaz Gemi,ÖTÜKEN NEŞRİYAT,Cengiz Aytmatov,0.0,9.26,168,42676, Hikaye (çeviri),5,3401
Uykucu Aslan Nasıl Uyur?,1001 ÇİÇEK KİTAPLAR,Jane Clarke,10.25,6.92,20,5955, Hikaye,5,266
Kırmızı Saçlı Kadın,YAPI KREDİ YAYINLARI,Orhan Pamuk,18.52,11.85,204,29699, Roman (yerli),4,3616
Korkutarak Değil Sevdirerek Din Eğitimi,HAYY KİTAP,Hatice Kübra Tongar,25.0,13.63,184,20486, Eğitim-Öğretim,5,879
Çalıkuşu,İNKILAP KİTABEVİ,Reşat Nuri Güntekin,55.56,37.55,544,13043, Roman (yerli),5,1683
Hitler’in Generalleri Konuşuyor & Askeri Hadiselere İlişkin Kendi Anlatımlarıyla, Alman Generallerin Zafer ve Yenilgileri 1939-45,KRONİK KİTAP,H. B. Liddel Hart,60.0,41.25,528,180, İnceleme-Araştırma,5,24
Yakıcı Sır,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,8.33,5.4,96,12764, Almanca,5,1622
Çaylak İle Filozof / Ben Bir Neyim?,UĞURBÖCEĞİ YAYINLARI,Özkan Öze,15.0,9.6,128,7566, Hikaye,5,347
Kitaplardan Korkan Çocuk,CAN ÇOCUK YAYINLARI,Susanna Tamaro,12.0,7.8,44,726030, İtalyanca,5,1154
Zor Olsa da Hayat Devam Ediyor,DESTEK YAYINLARI,Rövşen Abdullaoğlu,24.0,18.0,272,103, Genel,5,3
İnce Memed 4,YAPI KREDİ YAYINLARI,Yaşar Kemal,45.0,27.0,639,8028, Roman (yerli),5,723
İyi Yürekli Dev Memo,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Julia Donaldson,11.11,7.21,32,7842, Okul Öncesi,5,445
Ölüm Bir Varmış Bir Yokmuş,KIRMIZI KEDİ YAYINEVİ,Jose Saramago,27.0,17.55,208,10195, Portekizce,5,1002
Yüksek Topuklar Yüksek Umutlar,NTV YAYINLARI,Merve İnanduçar,16.81,8.4,136,1260, Edebiyat,4,72
Babalar ve Oğullar (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Ivan Sergeyeviç Turgenyev,14.0,9.1,264,6863, Rusça,5,817
Bir Delinin Anı Defteri & Palto-Burun - Petersburg Öyküleri ve Fayton,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Nikolay Vasilievich Gogol,14.0,9.1,224,7437, Rusça,5,893
Stefan Zweig Cep Boy Seti (8 Kitap),KARBON KİTAPLAR,Stefan Zweig,56.0,23.2,615,301, Roman (çeviri),5,6
Matilda,CAN ÇOCUK YAYINLARI,Roald Dahl,25.0,15.75,256,988536, İngilizce,5,353
Mutlu Prens (Cep Boy),KARBON KİTAPLAR,Oscar Wilde,7.0,2.9,64,376, Roman,5,18
Ziya Gökalp Seti (3 Kitap),KARBON KİTAPLAR,Ziya Gökalp,37.05,12.0,386,718, Şiir (yerli),5,27
Bilinmeyen Bir Kadının Mektubu,KARBON KİTAPLAR,Stefan Zweig,8.33,4.17,104,3430, Hikaye (çeviri),4,321
Seni Anlıyorum Çocuk,YEDİVEREN YAYINLARI,Dilek Cesur,25.0,14.99,224,8216, Annelik-Babalık-Aile,5,196
Stefan Zweig Seti (10 Kitap),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,71.07,46.2,777,7406, Hikaye (çeviri),5,566
Olağanüstü Bir Gece (Cep Boy),KARBON KİTAPLAR,Stefan Zweig,7.0,2.89,63,460, Hikaye (çeviri),4,14
Şimdi ve Sonsuza Dek,PEGASUS YAYINLARI,Lexa Hillyer,36.94,23.27,344,438, Roman (çeviri),4,11
Mutluluk,DOĞAN KİTAP,Zülfü Livaneli,31.5,21.74,392,7122, Roman (yerli),5,761
Olasılıksız,APRIL YAYINCILIK,Adam Fawer,35.0,23.8,475,26539, İngilizce,5,4184
Tepetaklak,PEGASUS YAYINLARI,Alexandra Coutts,36.94,24.01,352,563, Roman (çeviri),4,24
Charlie'nin Çikolata Fabrikası (Ciltsiz),CAN ÇOCUK YAYINLARI,Roald Dahl,21.0,13.44,208,930120, İngilizce,5,1515
Kurtlarla Koşan Kadınlar / Vahşi Kadın Arketipine Dair Mit ve Öyküler,AYRINTI YAYINLARI,Clarissa P. Estes,50.93,34.63,544,8559, İngilizce,5,428
Bir Kedi, Bir Adam, Bir Ölüm,DOĞAN KİTAP,Zülfü Livaneli,22.5,15.75,212,10883, Roman (yerli),5,1094
Zor İnsanlarla Çalışma Sırları,NTV YAYINLARI,David Brown,14.77,4.87,128,2035, İş Dünyası,4,84
Toplum Sözleşmesi (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jean Jacques Rousseau,13.0,8.45,136,8248, Fransızca,5,768
Gün Olur Asra Bedel,ÖTÜKEN NEŞRİYAT,Cengiz Aytmatov,0.0,18.52,413,25793, Roman (çeviri),5,2577
Savaş ve Barış 2 Cilt (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Lev N. Tolstoy,50.0,32.5,1808,5391, Roman (çeviri),5,556
Köpek Gibi Büyütülmüş Çocuk,KORİDOR YAYINCILIK,Maia Szalavitz , Bruce D. Perry,35.0,23.87,456,8140, Genel,5,435
Tehlikeli Oyunlar / Bütün Eserleri 2,İLETİŞİM YAYINLARI,Oğuz Atay,44.0,27.87,479,16692, Roman (yerli),5,1585
Madame Bovary (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Gustave Flaubert,16.0,10.4,396,4388, Fransızca,5,501
Rahel Tanrı’yla Hesaplaşıyor,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.41,4.81,80,3322, Roman (çeviri),5,377
İvan İlyiç'in Ölümü (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Lev N. Tolstoy,10.0,6.5,100,4642, Rusça,5,627
İntihar Cinayet,PEGASUS YAYINLARI,Keith Ablow,36.94,24.01,400,530, İngilizce,4,24
Kendime Düşünceler (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Marcus Aurelius,13.0,8.11,156,2628, Genel,5,165
Fedailerin Kalesi Alamut,KORİDOR YAYINCILIK,Vladimir Bartol,39.0,26.51,510,21476, Roman (yerli),5,2595
