@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
Küçük Prens,KARBON KİTAPLAR,Antoine De Saint Exupery,8.33,5.33,117,304286, Hikaye, Roman & Masal,5,2813
İngilizce Bulmacalarla Kahve Molası -1,KARBON KİTAPLAR,Alev Yıldırım,9.26,5.93,160,19718, İngilizce,4,1191
Ay Işığı Sokağı,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.0,4.55,80,43211, Hikaye (çeviri),5,3663
Alev Püskürtenler,CAN YAYINLARI KAMPANYA,Rachel Kushner,36.0,16.2,504,880, İngilizce,4,59
Slavoj Zizek / Çağımızın Son Filozofunu Anlamak İçin Çizgibilim,NTV YAYINLARI,Christopher Kul-Want,19.35,9.68,176,1667, Filozoflar-Düşünürler,4,124
Göklerde Eriyip Gitmek İsterdim,CAN YAYINLARI KAMPANYA,Jose Marti,15.0,6.75,128,736, Şiir (çeviri),5,48
Aşk, Hürriyet, İstibdat,CAN YAYINLARI KAMPANYA,Burak Artuner,15.74,7.08,200,1311, Roman (yerli),4,109
Sineklerin Tanrısı (karton kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,William Golding,16.0,10.4,261,54568, İngilizce,4,5480
Yabancı,CAN YAYINLARI,Albert Camus,16.0,10.4,111,63542, Fransızca,4,7599
Kral Şakir 6 / Dürümler Karışık,EKSİK PARÇA ÇOCUK,Varol Yaşaroğlu , Haluk Can Dizdaroğlu , Mert Dikmen,32.0,19.18,208,6004, Hikaye,5,147
Bir Şehri Yok Etmek,CAN YAYINLARI KAMPANYA,Emine Uşaklıgil,25.5,9.56,264,902, İnceleme-Araştırma,4,57
